City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,4,abu kamal,SY,79.25,clear sky,34.4506,40.9171,البوكمال
1,9,roebourne,AU,73.58,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
2,12,vanimo,PG,81.12,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
3,14,kavaratti,IN,83.01,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
4,16,port alfred,ZA,77.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
5,18,marawi,PH,75.54,overcast clouds,7.9986,124.2928,Derogongan Residence
6,25,karratha,AU,73.71,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
7,29,avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
8,30,tautira,PF,78.13,scattered clouds,-17.7333,-149.15,Pension Oaoa
9,35,cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
10,38,dubrovnik,HR,78.44,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
11,44,santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
12,51,dakar,SN,77.88,scattered clouds,14.6937,-17.4441,Novotel Dakar
13,55,wanning,CN,83.39,overcast clouds,18.8003,110.3967,Paradise Hotel
15,63,yankton,US,89.85,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
16,64,hithadhoo,MV,83.62,overcast clouds,-0.6,73.0833,Scoop Guest House
17,65,manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
18,67,atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
19,68,kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,71,zaoyang,CN,75.13,overcast clouds,32.1272,112.7542,Shanghai Hotel
21,73,georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
22,75,vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,76,pagudpud,PH,84.67,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
24,78,lompoc,US,87.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
25,79,east london,ZA,75.72,overcast clouds,-33.0153,27.9116,Tu Casa
26,81,sibulan,PH,82.94,overcast clouds,9.3584,123.285,Sunshine Villa
27,82,tecoanapa,MX,83.21,few clouds,16.5167,-98.75,Hotel Manglares
28,89,rikitea,PF,73.31,scattered clouds,-23.1203,-134.9692,People ThankYou
29,90,itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
30,93,puerto ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,96,carutapera,BR,75.61,broken clouds,-1.195,-46.02,Lidera
32,97,miraflores,MX,75.96,overcast clouds,19.2167,-98.8083,Hotel Mansión
34,103,salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
35,104,faanui,PF,79.72,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,109,amuntai,ID,76.01,overcast clouds,-2.4177,115.2494,Hotel Balqis
37,110,victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Central
38,111,narasannapeta,IN,82.15,broken clouds,18.4167,84.05,AVK events and catering
39,112,hami,CN,82.47,clear sky,42.8,93.45,Laoyutang Resort
40,114,dingle,PH,82.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
43,124,luoyang,CN,79.5,few clouds,34.6836,112.4536,易家国际青年旅舍
44,126,buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
45,127,dunmore town,BS,81.81,scattered clouds,25.5,-76.65,Coral Sands Hotel
46,131,kavieng,PG,83.01,light rain,-2.5744,150.7967,Nusa Island Retreat
47,132,bengkulu,ID,76.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,135,cozumel,MX,84.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
