City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,lebu,CL,-37.6167,-73.65,48.16,91,100,8.77,overcast clouds
1,ulaanbaatar,MN,47.9077,106.8832,50.13,71,0,0.0,clear sky
2,carnarvon,AU,-24.8667,113.6333,64.35,70,16,14.9,few clouds
3,tamasane,BW,-22.4184,27.4013,50.07,61,0,4.25,clear sky
4,abu kamal,SY,34.4506,40.9171,79.25,38,10,15.21,clear sky
5,dikson,RU,73.5069,80.5464,29.97,94,100,17.65,overcast clouds
6,praia da vitoria,PT,38.7333,-27.0667,61.75,88,75,18.16,broken clouds
7,prince rupert,CA,54.3161,-130.3201,57.29,79,75,8.05,broken clouds
8,mar del plata,AR,-38.0023,-57.5575,52.95,62,0,1.01,clear sky
9,roebourne,AU,-20.7833,117.1333,73.58,50,45,10.49,scattered clouds
10,luderitz,NA,-26.6481,15.1594,59.38,59,21,6.2,few clouds
11,jamestown,US,42.097,-79.2353,72.05,44,97,1.01,overcast clouds
12,vanimo,PG,-2.6741,141.3028,81.12,82,28,6.76,scattered clouds
13,mahebourg,MU,-20.4081,57.7,70.25,94,75,20.71,broken clouds
14,kavaratti,IN,10.5669,72.642,83.01,73,100,18.57,light rain
15,chokurdakh,RU,70.6333,147.9167,62.44,22,9,13.11,clear sky
16,port alfred,ZA,-33.5906,26.891,77.18,28,100,8.01,overcast clouds
17,kaitangata,NZ,-46.2817,169.8464,45.75,89,68,23.17,light rain
18,marawi,PH,7.9986,124.2928,75.54,80,87,0.87,overcast clouds
19,bethel,US,41.3712,-73.414,70.36,87,98,1.99,overcast clouds
20,tasiilaq,GL,65.6145,-37.6368,37.56,99,100,5.35,light rain
21,strezhevoy,RU,60.7333,77.5889,57.9,88,14,5.68,few clouds
22,hobart,AU,-42.8794,147.3294,46.06,78,20,4.61,few clouds
23,hermanus,ZA,-34.4187,19.2345,64.8,79,100,16.84,light rain
24,tsaratanana,MG,-16.7833,47.65,61.23,75,20,11.45,few clouds
25,karratha,AU,-20.7377,116.8463,73.71,57,43,9.86,scattered clouds
26,bredasdorp,ZA,-34.5322,20.0403,61.65,60,100,11.05,overcast clouds
27,christchurch,NZ,-43.5333,172.6333,48.9,74,100,3.44,light rain
28,mataura,NZ,-46.1927,168.8643,45.48,95,83,14.09,light rain
29,avarua,CK,-21.2078,-159.775,78.85,69,75,13.8,broken clouds
30,tautira,PF,-17.7333,-149.15,78.13,68,46,19.04,scattered clouds
31,fier,AL,40.7239,19.5561,70.02,66,41,6.98,scattered clouds
32,constitucion,CL,-35.3333,-72.4167,49.51,90,99,1.92,overcast clouds
33,guerrero negro,MX,27.9769,-114.0611,72.68,62,22,16.91,few clouds
